# the name is the name used in calypso, not the ticker symbol
5.HK
GM
GE
IBM
CSCO
JPM
YHOO
BT
MSFT
GOOG
MMM
ABT
ANF
ADBE
AMD
AMD
MIG.AX
2628.HK
3988.HK
nasdaq
SPX500
